name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
LSTA1	-20.9584	5.15238	-33.9014584380125	-999	LSTA	L	strip	-20.6374	2.67429	-26.7866	n/a	temporalpole	n/a	n/a
LSTA2	-21.4138	-0.730277	-41.5233725554468	-999	LSTA	L	strip	-21.9883	-4.65892	-32.4074	n/a	entorhinal	n/a	n/a
LSTA3	-26.9706	-8.34089	-43.8772232345885	-999	LSTA	L	strip	-29.7038	-11.9906	-35.4598	n/a	fusiform	n/a	n/a
LSTA4	-41.8483	-14.5849	-42.9683953180471	-999	LSTA	L	strip	-39.4287	-16.2393	-34.9861	n/a	inferiortemporal	n/a	n/a
LSTA5	-54.1838	-14.7753	-38.7234156867852	-999	LSTA	L	strip	-49.7061	-15.5847	-31.2826	n/a	inferiortemporal	n/a	n/a
LSTA6	-61.385	-8.21462	-35.7643713492672	-999	LSTA	L	strip	-56.1224	-11.3141	-26.2757	n/a	middletemporal	n/a	n/a
LSTA7	-65.2776	-2.63237	-23.7458399774428	-999	LSTA	L	strip	-63.0601	-5.66405	-19.226	n/a	middletemporal	n/a	n/a
LSTA8	-64.4028	0.586359	-14.0043172541971	-999	LSTA	L	strip	-66.5923	0.0670563	-12.0743	n/a	superiortemporal	n/a	n/a
LSTB1	-7.16195	-51.1288	9.49481961147135	-999	LSTB	L	strip	-6.75623	-50.5274	4.9422	n/a	isthmuscingulate	n/a	n/a
LSTB2	-10.2481	-41.8045	0.525609376376486	-999	LSTB	L	strip	-13.0015	-45.7342	-2.43774	n/a	lingual	n/a	n/a
LSTB3	-18.2427	-39.8737	-11.3823403340062	-999	LSTB	L	strip	-19.7248	-42.381	-9.81345	n/a	lingual	n/a	n/a
LSTB4	-27.6316	-32.6529	-21.8533160002376	-999	LSTB	L	strip	-27.4429	-37.4127	-16.1368	n/a	fusiform	n/a	n/a
LSTB5	-34.671	-26.8085	-30.5939111562685	-999	LSTB	L	strip	-35.1881	-32.0456	-20.6782	n/a	fusiform	n/a	n/a
LSTB6	-45.2183	-24.6067	-33.8172134606857	-999	LSTB	L	strip	-43.9394	-26.6496	-22.9365	n/a	fusiform	n/a	n/a
LSTB7	-55.6303	-19.016	-34.3656865437495	-999	LSTB	L	strip	-51.7328	-19.6919	-24.5295	n/a	inferiortemporal	n/a	n/a
LSTB8	-64.8145	-12.0744	-31.1656460598758	-999	LSTB	L	strip	-57.6292	-10.6511	-23.201	n/a	middletemporal	n/a	n/a
LPT1	-45.8235	-86.3292	-2.2258643966576	-999	LPT	L	strip	-43.0821	-84.8933	1.65704	n/a	lateraloccipital	n/a	n/a
LPT2	-52.697	-77.1992	-4.95753637322988	-999	LPT	L	strip	-48.4189	-76.0447	-2.07014	n/a	lateraloccipital	n/a	n/a
LPT3	-55.1717	-69.9892	-10.9346511969511	-999	LPT	L	strip	-54.2473	-68.447	-5.11141	n/a	fusiform	n/a	n/a
LPT4	-61.1205	-60.3306	-16.9930628256036	-999	LPT	L	strip	-59.5826	-60.9375	-8.58365	n/a	inferiortemporal	n/a	n/a
LPT5	-67.0585	-49.4687	-18.8561394452325	-999	LPT	L	strip	-62.988	-50.9503	-11.5316	n/a	inferiortemporal	n/a	n/a
LPT6	-70.2158	-36.6095	-21.247335234539	-999	LPT	L	strip	-65.4339	-40.7408	-13.5595	n/a	inferiortemporal	n/a	n/a
LPT7	-65.8334	-26.8286	-28.5206976132893	-999	LPT	L	strip	-63.9878	-30.4388	-15.4709	n/a	inferiortemporal	n/a	n/a
LPT8	-69.3566	-18.4511	-25.97100321223	-999	LPT	L	strip	-63.0404	-20.8418	-16.3359	n/a	middletemporal	n/a	n/a
LIHA1	-0.164181	55.5336	-16.9610016562406	-999	LIHA	L	strip	-1.05861	57.631	-15.663	n/a	medialorbitofrontal	n/a	n/a
LIHA2	2.94591	51.2221	-4.43677008625983	-999	LIHA	R	strip	-0.231463	58.0615	-5.49327	n/a	medialorbitofrontal	n/a	n/a
LIHA3	-0.00407658	59.9358	2.22609747010449	-999	LIHA	L	strip	0.597417	57.1899	5.67176	n/a	superiorfrontal	n/a	n/a
LIHA4	-0.12112	55.9018	14.2748826373645	-999	LIHA	L	strip	0.446543	56.409	17.5389	n/a	superiorfrontal	n/a	n/a
LIHB1	-0.168275	14.9715	21.9101014409033	-999	LIHB	L	strip	-3.88155	17.4929	25.3079	n/a	caudalanteriorcingulate	n/a	n/a
LIHB2	2.13441	21.7528	38.5417407157617	-999	LIHB	R	strip	-0.572829	26.0358	30.3123	n/a	caudalanteriorcingulate	n/a	n/a
LIHB3	-1.39091	25.0689	41.9300053512918	-999	LIHB	L	strip	-0.671441	35.8355	34.9317	n/a	superiorfrontal	n/a	n/a
LIHB4	-1.04118	39.5498	44.3980449828722	-999	LIHB	L	strip	-4.19235	43.1827	41.4497	n/a	superiorfrontal	n/a	n/a
RFA1	70.4542	-34.3938	-23.3676956247929	-999	RFA	R	strip	61.6898	-36.7938	-20.1536	n/a	inferiortemporal	n/a	n/a
RFA2	72.3491	-29.1991	-24.4494102659991	-999	RFA	R	strip	65.0563	-26.9397	-20.0547	n/a	middletemporal	n/a	n/a
RFA3	68.1722	-14.2485	-23.0891619414522	-999	RFA	R	strip	66.9301	-17.0682	-17.6872	n/a	middletemporal	n/a	n/a
RFA5	63.6231	0.368542	-11.89364926017	-999	RFA	R	strip	61.375	2.0131	-8.96457	n/a	superiortemporal	n/a	n/a
RFA6	60.107	8.14062	-11.6506455609506	-999	RFA	R	strip	57.8726	10.3706	-4.63527	n/a	parsopercularis	n/a	n/a
RFA7	60.2725	17.0608	0.141639517915367	-999	RFA	R	strip	55.342	19.6465	-0.395923	n/a	parstriangularis	n/a	n/a
RFA8	60.2664	26.6308	7.53424335444375	-999	RFA	R	strip	54.2655	28.1865	4.95271	n/a	parstriangularis	n/a	n/a
RFB1	15.8079	19.9269	-28.1766846220099	-999	RFB	R	strip	15.734	12.278	-19.9264	n/a	lateralorbitofrontal	n/a	n/a
RFB2	21.1829	26.2582	-29.9136771484196	-999	RFB	R	strip	23.4953	19.8047	-20.1626	n/a	lateralorbitofrontal	n/a	n/a
RFB3	28.4095	30.1993	-26.7373456942311	-999	RFB	R	strip	30.2483	29.146	-18.4552	n/a	lateralorbitofrontal	n/a	n/a
RFB5	41.1988	43.1642	-20.4537228650252	-999	RFB	R	strip	43.3173	45.3335	-17.8338	n/a	parsorbitalis	n/a	n/a
RFB6	48.0097	48.7793	-13.3694585867025	-999	RFB	R	strip	49.0397	48.0595	-10.2558	n/a	parstriangularis	n/a	n/a
RFB7	51.2819	49.23	-0.668521686102941	-999	RFB	R	strip	46.4777	45.9855	-0.497429	n/a	rostralmiddlefrontal	n/a	n/a
RFB8	53.1799	45.4419	9.09301592090302	-999	RFB	R	strip	48.7942	43.8615	9.19022	n/a	rostralmiddlefrontal	n/a	n/a
RFC1	5.5001	60.2805	-25.7131807407772	-999	RFC	R	strip	8.77771	57.6064	-22.7545	n/a	lateralorbitofrontal	n/a	n/a
